  CLK   CLR  DATA  LOAD   UP  DOWN   SP       Q                 INS 
    0    1    000    0    0    0     000   00000000000        0000100000000000000000001
    1    0    000    0    0    0     000   00000000000        0000100000000000000000001
    1    0    000    0    0    0     000   00000000001        0000100010000000000000111
    1    0    000    0    0    0     000   00000000010        0000000010001000000000000
    1    0    000    0    0    0     000   00000000011        0001100010000000000000101
    1    0    002    1    0    0     000   00000000100        1001100000000000000000010
    1    0    002    0    0    0     000   00000000010        0000000010001000000000000
    1    0    002    0    0    0     000   00000000011        0001100010000000000000101
    1    0    002    1    0    0     000   00000000100        1001100000000000000000010
    1    0    002    0    0    0     000   00000000010        0000000010001000000000000
    1    0    002    0    0    0     000   00000000011        0001100010000000000000101
    1    0    002    1    0    0     000   00000000100        1001100000000000000000010
    1    0    002    0    0    0     000   00000000010        0000000010001000000000000
    1    0    002    0    0    0     000   00000000011        0001100010000000000000101
