 DATA  UP  DOWN LOAD  CLR   SP   PC 
   00    0    0    0    1  000  000
   00    0    0    0    0  000  000
   00    0    0    0    0  000  001
   00    0    0    0    0  000  002
   10    1    0    1    0  000  003
   00    0    0    0    0  001  010
   00    0    0    0    0  001  011
   00    0    0    0    0  001  012
   20    1    0    1    0  001  013
   00    0    0    0    0  010  020
   00    0    0    0    0  010  021
   00    0    0    0    0  010  022
   00    0    1    0    0  010  023
   00    0    0    0    0  001  014
   00    0    0    0    0  001  015
   00    0    1    0    0  001  016
   00    0    0    0    0  000  004
   00    0    0    0    0  000  005
   02    0    0    1    0  000  006
   00    0    0    0    0  000  002
